Address      Type         Bits   RW/RO   Min    Max   Default                  Name                             Alternative name               Right to modify    Main application   Description                                                                                                                                                                                                          
  dec                                                                                                                                                                                
  1066   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel2Gain2Factor               CUP1_CHANNEL2_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1067   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel3Gain2Factor               CUP1_CHANNEL3_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1068   holding reg.    uint16    RW   12000  16000   14000         Cup1Channel4Gain2Factor               CUP1_CHANNEL4_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1069   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel1Gain2Factor               CUP2_CHANNEL1_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1070   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel2Gain2Factor               CUP2_CHANNEL2_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1071   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel3Gain2Factor               CUP2_CHANNEL3_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1072   holding reg.    uint16    RW   12000  16000   14000         Cup2Channel4Gain2Factor               CUP2_CHANNEL4_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1073   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel1Gain2Factor               CUP3_CHANNEL1_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1074   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel2Gain2Factor               CUP3_CHANNEL2_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1075   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel3Gain2Factor               CUP3_CHANNEL3_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1076   holding reg.    uint16    RW   12000  16000   14000         Cup3Channel4Gain2Factor               CUP3_CHANNEL4_GAIN2_FACTOR           ModbusServer       configuration     - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
  1077   holding reg.    uint16    RW     0    65535    170            RangeChangeThreshold                  RANGE_CHANGE_THRESHOLD             ModbusServer       configuration     The threshold value for the signal with higher gain (ADC1); if ADC1 is less than RangeChangeThreshold, use ADC1 in the calculation; otherwise, use ADC0 (i.e., the signal with lower gain).                          
                                                                                                                                                                                     
  1078   holding reg.    uint16    RW     0    65535     0            Cup1Channel1LowerLimit                CUP1_CHANNEL1_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1079   holding reg.    uint16    RW     0    65535     0            Cup1Channel2LowerLimit                CUP1_CHANNEL2_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1080   holding reg.    uint16    RW     0    65535     0            Cup1Channel3LowerLimit                CUP1_CHANNEL3_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1081   holding reg.    uint16    RW     0    65535     0            Cup1Channel4LowerLimit                CUP1_CHANNEL4_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1082   holding reg.    uint16    RW     0    65535     0            Cup2Channel1LowerLimit                CUP2_CHANNEL1_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1083   holding reg.    uint16    RW     0    65535     0            Cup2Channel2LowerLimit                CUP2_CHANNEL2_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1084   holding reg.    uint16    RW     0    65535     0            Cup2Channel3LowerLimit                CUP2_CHANNEL3_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1085   holding reg.    uint16    RW     0    65535     0            Cup2Channel4LowerLimit                CUP2_CHANNEL4_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1086   holding reg.    uint16    RW     0    65535     0            Cup3Channel1LowerLimit                CUP3_CHANNEL1_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1087   holding reg.    uint16    RW     0    65535     0            Cup3Channel2LowerLimit                CUP3_CHANNEL2_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1088   holding reg.    uint16    RW     0    65535     0            Cup3Channel3LowerLimit                CUP3_CHANNEL3_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1089   holding reg.    uint16    RW     0    65535     0            Cup3Channel4LowerLimit                CUP3_CHANNEL4_LOWER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
  1090   holding reg.    uint16    RW     0    65535   65535          Cup1Channel1UpperLimit                CUP1_CHANNEL1_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1091   holding reg.    uint16    RW     0    65535   65535          Cup1Channel2UpperLimit                CUP1_CHANNEL2_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1092   holding reg.    uint16    RW     0    65535   65535          Cup1Channel3UpperLimit                CUP1_CHANNEL3_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1093   holding reg.    uint16    RW     0    65535   65535          Cup1Channel4UpperLimit                CUP1_CHANNEL4_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1094   holding reg.    uint16    RW     0    65535   65535          Cup2Channel1UpperLimit                CUP2_CHANNEL1_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1095   holding reg.    uint16    RW     0    65535   65535          Cup2Channel2UpperLimit                CUP2_CHANNEL2_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1096   holding reg.    uint16    RW     0    65535   65535          Cup2Channel3UpperLimit                CUP2_CHANNEL3_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1097   holding reg.    uint16    RW     0    65535   65535          Cup2Channel4UpperLimit                CUP2_CHANNEL4_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1098   holding reg.    uint16    RW     0    65535   65535          Cup3Channel1UpperLimit                CUP3_CHANNEL1_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1099   holding reg.    uint16    RW     0    65535   65535          Cup3Channel2UpperLimit                CUP3_CHANNEL2_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1100   holding reg.    uint16    RW     0    65535   65535          Cup3Channel3UpperLimit                CUP3_CHANNEL3_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
  1101   holding reg.    uint16    RW     0    65535   65535          Cup3Channel4UpperLimit                CUP3_CHANNEL4_UPPER_LIMIT           ModbusServer       configuration     - // -                                                                                                                                                                                                               
                                                                                                                                                                                     
  1102   holding reg.    uint16    RW     0    65535    300         SimMechanismPropagation1In            SIM_MECHANISM_PROPAGATION1_IN         ModbusServer       DebugSimulator    Response time of the mechanism #1 during insertion - constant component (in clock ticks)                                                                                                                             
  1103   holding reg.    uint16    RW     0    65535     0        SimMechanismPropagation1InRand       SIM_MECHANISM_PROPAGATION1_IN_RAND       ModbusServer       DebugSimulator    Response time of the mechanism #1 during insertion - random component (std. dev. in clock ticks / 10)                                                                                                                
  1104   holding reg.    uint16    RW     0    65535    100        SimMechanismPropagation1Out           SIM_MECHANISM_PROPAGATION1_OUT         ModbusServer       DebugSimulator    Response time of the mechanism #1 during ejection - constant component (in clock ticks)                                                                                                                              
  1105   holding reg.    uint16    RW     0    65535     0       SimMechanismPropagation1OutRand       SIM_MECHANISM_PROPAGATION1_OUT_RAND      ModbusServer       DebugSimulator    Response time of the mechanism #1 during ejection - random component (std. dev. in clock ticks / 10)                                                                                                                 
                                                                                                                                                                                     
  1106   holding reg.    uint16    RW     0    65535    300         SimMechanismPropagation2In            SIM_MECHANISM_PROPAGATION2_IN         ModbusServer       DebugSimulator    Response time of the mechanism #2 during insertion - constant component (in clock ticks)                                                                                                                             
  1107   holding reg.    uint16    RW     0    65535     0        SimMechanismPropagation2InRand       SIM_MECHANISM_PROPAGATION2_IN_RAND       ModbusServer       DebugSimulator    Response time of the mechanism #2 during insertion - random component (std. dev. in clock ticks / 10)                                                                                                                
  1108   holding reg.    uint16    RW     0    65535    100        SimMechanismPropagation2Out           SIM_MECHANISM_PROPAGATION2_OUT         ModbusServer       DebugSimulator    Response time of the mechanism #2 during ejection - constant component (in clock ticks)                                                                                                                              
  1109   holding reg.    uint16    RW     0    65535     0       SimMechanismPropagation2OutRand       SIM_MECHANISM_PROPAGATION2_OUT_RAND      ModbusServer       DebugSimulator    Response time of the mechanism #2 during ejection - random component (std. dev. in clock ticks / 10)                                                                                                                 
                                                                                                                                                                                     
  1110   holding reg.    uint16    RW     0    65535    1500        SimMechanismPropagation3In            SIM_MECHANISM_PROPAGATION3_IN         ModbusServer       DebugSimulator    Response time of the mechanism #3 during insertion - constant component (in clock ticks)                                                                                                                             
  1111   holding reg.    uint16    RW     0    65535     0        SimMechanismPropagation3InRand       SIM_MECHANISM_PROPAGATION3_IN_RAND       ModbusServer       DebugSimulator    Response time of the mechanism #3 during insertion - random component (std. dev. in clock ticks / 10)                                                                                                                
  1112   holding reg.    uint16    RW     0    65535    2000       SimMechanismPropagation3Out           SIM_MECHANISM_PROPAGATION3_OUT         ModbusServer       DebugSimulator    Response time of the mechanism #3 during ejection - constant component (in clock ticks)                                                                                                                              
  1113   holding reg.    uint16    RW     0    65535     0       SimMechanismPropagation3OutRand       SIM_MECHANISM_PROPAGATION3_OUT_RAND      ModbusServer       DebugSimulator    Response time of the mechanism #3 during ejection - random component (std. dev. in clock ticks / 10)                                                                                                                 
  1114   holding reg.    uint16    RW     0    65535     70        SimMechanism3InertialMotion           SIM_MECHANISM3_INERTIAL_MOTION         ModbusServer       DebugSimulator    The time it takes for the engine to come to a stop without braking (in clock ticks)                                                                                                                                  
  1115   holding reg.    uint16    RW     0    65535     7          SimMechanism3BrakedMotion             SIM_MECHANISM3_BRAKED_MOTION          ModbusServer       DebugSimulator    The time it takes for the engine to come to a stop with braking (in clock ticks)                                                                                                                                     
                                                                                                                                                                                     
  1116   holding reg.    uint16    RW     0    65535     0          SimAmplifierCup1Electrode1            SIM_AMPLIFIER_CUP1_ELECTRODE1         ModbusServer       DebugSimulator    The output value of the analog-to-digital converter (for the high-gain range) in converter units × 8                                                                                                                 
  1117   holding reg.    uint16    RW     0    65535     0          SimAmplifierCup1Electrode2            SIM_AMPLIFIER_CUP1_ELECTRODE2         ModbusServer       DebugSimulator    - // -                                                                                                                                                                                                               
  1118   holding reg.    uint16    RW     0    65535     0          SimAmplifierCup1Electrode3            SIM_AMPLIFIER_CUP1_ELECTRODE3         ModbusServer       DebugSimulator    - // -                                                                                                                                                                                                               
  1119   holding reg.    uint16    RW     0    65535     0          SimAmplifierCup1Electrode4            SIM_AMPLIFIER_CUP1_ELECTRODE4         ModbusServer       DebugSimulator    - // -                                                                                                                                                                                                               
